-13.8,-11.0,30.3,-15.9,-7.7,30.3,-15.0,-7.1,27.4,-17.4,-8.4,29.2
-6.2,-7.8,40.0,-4.8,-9.9,35.7,-2.2,-9.7,40.0,-4.8,-9.9,44.3
1.7,-5.8,49.7,4.3,-3.4,50.8,3.0,-3.0,52.6,2.0,-6.5,52.6
-12.1,-15.1,50.8,-12.1,-15.1,29.2,-12.5,-15.6,52.6,-15.6,-12.5,52.6
-12.5,-15.6,27.4,-12.5,-15.6,22.8,-15.6,-12.5,27.4,-9.8,-11.9,27.4
-8.7,-18.0,27.4,-12.5,-15.6,22.8,-12.5,-15.6,27.4,-9.8,-11.9,27.4
-3.4,-14.8,27.4,-4.8,-9.1,27.4,-7.1,-8.1,22.8,-9.8,-11.9,27.4
-8.6,-6.8,35.7,-9.0,-4.3,40.0,-9.9,-4.8,35.7,-13.8,-11.0,30.3
-7.7,-15.9,30.3,-3.1,-13.4,32.2,-3.0,-13.1,30.3,-8.6,-10.7,32.2
-7.7,-15.9,49.7,-4.8,-9.9,35.7,-7.7,-15.9,30.3,-8.6,-10.7,32.2
-8.5,-6.0,30.3,-8.6,-6.8,35.7,-12.4,-6.0,32.2,-8.6,-10.7,32.2
-7.7,-15.9,30.3,-8.7,-18.0,27.4,-7.7,-15.9,49.7,-12.1,-15.1,29.2
-6.8,-8.6,44.3,-6.2,-7.8,40.0,-5.4,-6.5,44.3,-4.8,-9.9,44.3
-7.7,-15.9,30.3,-4.8,-9.9,35.7,-3.1,-13.4,32.2,-8.6,-10.7,32.2
-12.1,-15.1,29.2,-8.7,-18.0,27.4,-7.7,-15.9,49.7,-12.1,-15.1,50.8
-8.6,-10.7,32.2,-8.7,-10.5,30.3,-7.7,-15.9,30.3,-11.0,-13.8,30.3
-12.1,-15.1,50.8,-12.5,-15.6,52.6,-8.7,-18.0,27.4,-8.7,-18.0,52.6
-4.9,-5.6,47.8,-6.3,-7.2,49.7,-6.8,-8.6,44.3,-4.2,-8.1,49.7
-15.0,-7.1,52.6,-12.1,-5.5,57.2,-15.6,-12.5,52.6,-9.8,-11.9,52.6
-3.3,3.0,66.3,-3.4,-2.7,66.3,-2.4,-0.5,70.9,-4.7,0.9,66.3
-15.6,-12.5,27.4,-12.5,-15.6,27.4,-9.8,-11.9,27.4,-12.1,-15.1,29.2
-13.8,-11.0,49.7,-13.3,-6.3,49.7,-8.7,-10.5,49.7,-12.4,-6.0,47.8
-1.3,-0.3,44.3,-2.3,2.1,47.8,-2.3,-1.9,47.8,1.1,-1.7,47.8
-8.6,-10.7,32.2,-12.4,-6.0,32.2,-8.7,-10.5,30.3,-13.8,-11.0,30.3
-12.4,-6.0,32.2,-9.9,-4.8,35.7,-15.9,-7.7,30.3,-13.8,-11.0,30.3
-9.0,-4.3,40.0,-15.9,-7.7,30.3,-9.9,-4.8,35.7,-13.8,-11.0,30.3
-12.4,-6.0,32.2,-15.9,-7.7,30.3,-13.3,-6.3,30.3,-13.8,-11.0,30.3
-8.7,-10.5,30.3,-12.4,-6.0,32.2,-13.3,-6.3,30.3,-13.8,-11.0,30.3
-18.0,-8.7,27.4,-15.0,-7.1,27.4,-19.5,-4.5,27.4,-17.4,-8.4,29.2
-9.9,-4.8,35.7,-12.4,-6.0,32.2,-8.6,-6.8,35.7,-13.8,-11.0,30.3
-4.8,-9.9,44.3,-4.9,-5.6,47.8,-6.8,-8.6,44.3,-4.2,-8.1,49.7
4.5,-9.6,52.6,2.3,-10.3,50.8,2.0,-6.5,52.6,4.0,-8.5,49.7
-7.7,-15.9,49.7,-4.3,-18.9,29.2,-4.3,-18.9,50.8,-8.7,-18.0,52.6
-8.7,-18.0,27.4,-4.3,-18.9,29.2,-7.7,-15.9,49.7,-8.7,-18.0,52.6
-8.7,-10.5,49.7,-8.5,-6.0,49.7,-6.3,-7.2,49.7,-8.6,-10.7,47.8
-11.0,-13.8,30.3,-8.6,-10.7,32.2,-8.7,-10.5,30.3,-13.8,-11.0,30.3
-11.0,-13.8,30.3,-8.7,-10.5,30.3,-9.8,-11.9,27.4,-13.8,-11.0,30.3
-9.6,-6.8,27.4,-9.8,-11.9,27.4,-8.7,-10.5,30.3,-13.8,-11.0,30.3
-9.6,-6.8,27.4,-8.7,-10.5,30.3,-13.3,-6.3,30.3,-13.8,-11.0,30.3
-9.6,-6.8,27.4,-15.0,-7.1,27.4,-9.8,-11.9,27.4,-13.8,-11.0,30.3
-15.0,-7.1,27.4,-12.1,-5.5,27.4,-13.3,-6.3,30.3,-13.8,-11.0,30.3
-15.0,-7.1,27.4,-9.6,-6.8,27.4,-12.1,-5.5,27.4,-13.8,-11.0,30.3
-12.1,-5.5,27.4,-9.6,-6.8,27.4,-13.3,-6.3,30.3,-13.8,-11.0,30.3
-15.0,-7.1,27.4,-15.6,-12.5,27.4,-9.8,-11.9,27.4,-13.8,-11.0,30.3
-1.4,-4.0,57.2,-1.4,-4.0,61.8,0.1,-3.2,61.8,-2.4,-3.4,61.8
-13.3,-6.3,30.3,-15.9,-7.7,30.3,-15.0,-7.1,27.4,-13.8,-11.0,30.3
-9.8,-11.9,27.4,-15.6,-12.5,27.4,-12.1,-15.1,29.2,-13.8,-11.0,30.3
-12.1,-15.1,29.2,-11.0,-13.8,30.3,-9.8,-11.9,27.4,-13.8,-11.0,30.3
-6.2,-7.8,40.0,-8.6,-6.8,44.3,-8.6,-10.7,47.8,-6.8,-8.6,44.3
-8.6,-10.7,32.2,-8.6,-6.8,35.7,-12.4,-6.0,32.2,-13.8,-11.0,30.3
-8.6,-10.7,47.8,-7.7,-15.9,49.7,-4.8,-9.9,35.7,-4.8,-9.9,44.3
-2.1,-3.0,49.7,-2.4,-0.5,52.6,0.1,-2.9,49.7,-2.1,-0.5,49.7
-7.6,-1.8,61.8,-12.1,-5.5,57.2,-12.0,-3.2,61.8,-11.9,-0.8,57.2
7.1,-6.0,30.3,8.6,-10.7,32.2,8.4,-10.7,30.3,12.1,-6.1,30.3
-13.8,-11.0,49.7,-15.6,-12.5,27.4,-12.1,-15.1,29.2,-15.6,-12.5,52.6
-9.0,-4.3,40.0,-13.8,-11.0,30.3,-13.8,-11.0,49.7,-15.9,-7.7,49.7
-15.9,-7.7,49.7,-13.3,-6.3,49.7,-13.8,-11.0,49.7,-12.4,-6.0,47.8
-3.3,3.0,61.8,-4.0,1.9,61.8,-2.4,-0.5,61.8,-3.3,3.0,66.3
6.5,-3.5,47.8,4.5,-5.9,47.8,8.6,-6.8,44.3,7.1,-6.0,49.7
-17.2,-3.9,49.7,-10.7,-2.4,44.3,-11.0,0.0,44.3,-13.7,0.0,47.8
-11.9,-0.8,57.2,-7.6,-1.8,61.8,-12.1,-5.5,57.2,-3.4,-2.7,57.2
-15.9,-0.4,70.9,-12.0,-3.2,70.9,-11.9,-0.8,70.9,-11.9,-0.8,75.4
-12.1,-15.1,50.8,-8.7,-18.0,27.4,-7.7,-15.9,49.7,-8.7,-18.0,52.6
-9.8,-11.9,52.6,-12.1,-15.1,50.8,-7.7,-15.9,49.7,-8.7,-18.0,52.6
-9.8,-11.9,52.6,-12.5,-15.6,52.6,-12.1,-15.1,50.8,-8.7,-18.0,52.6
-13.8,-11.0,30.3,-9.0,-4.3,40.0,-15.9,-7.7,30.3,-15.9,-7.7,49.7
-12.5,-15.6,57.2,-12.5,-15.6,52.6,-9.8,-11.9,52.6,-8.7,-18.0,52.6
-7.1,-8.1,66.3,-3.4,-14.8,70.9,-2.4,-10.1,66.3,-4.8,-9.1,70.9
-12.1,-5.5,57.2,-15.6,-12.5,52.6,-18.0,-8.7,57.2,-15.0,-7.1,52.6
-13.8,-11.0,49.7,-9.6,-6.8,52.6,-12.1,-5.5,52.6,-15.0,-7.1,52.6
-15.6,-12.5,70.9,-9.8,-11.9,70.9,-12.1,-5.5,66.3,-15.0,-7.1,70.9
-4.8,-9.1,80.0,-7.1,-8.1,75.4,-3.4,-14.8,80.0,-9.8,-11.9,80.0
-6.9,-7.9,50.8,-9.6,-6.8,52.6,-7.1,-8.1,52.6,-5.2,-5.4,52.6
-15.0,-7.1,52.6,-12.1,-5.5,52.6,-13.3,-6.3,49.7,-12.0,-3.2,52.6
-11.0,0.0,44.3,-10.7,2.4,35.7,-11.0,0.0,35.7,-17.2,3.9,49.7
-9.0,3.1,49.7,-9.7,1.2,49.7,-7.0,2.4,47.8,-6.6,2.0,49.7
-4.5,0.9,50.8,-7.6,-1.8,52.6,-4.7,0.9,52.6,-7.4,2.2,52.6
-11.9,-0.8,57.2,-12.1,-5.5,57.2,-7.6,-1.8,52.6,-3.4,-2.7,57.2
-2.4,-10.1,66.3,-2.4,-10.1,70.9,-3.4,-14.8,70.9,0.0,-10.4,70.9
3.9,3.5,50.8,2.9,4.7,52.6,2.8,0.6,52.6,4.0,3.6,52.6
-12.5,-15.6,75.4,-12.5,-15.6,80.0,-9.8,-11.9,80.0,-15.6,-12.5,80.0
-4.5,-19.5,66.3,-3.4,-14.8,61.8,-8.7,-18.0,61.8,-12.5,-15.6,66.3
-3.4,-14.8,61.8,-7.1,-8.1,66.3,-4.8,-9.1,61.8,-9.8,-11.9,61.8
-8.7,-18.0,70.9,-4.5,-19.5,66.3,-8.7,-18.0,61.8,-12.5,-15.6,66.3
-15.6,-12.5,52.6,-18.0,-8.7,57.2,-12.5,-15.6,57.2,-12.1,-5.5,57.2
-3.4,-14.8,70.9,0.0,-10.4,70.9,-2.4,-10.1,75.4,2.4,-10.6,75.4
-3.9,-17.2,49.7,-2.2,-9.7,40.0,-4.8,-9.9,44.3,-2.4,-10.7,44.3
-10.5,-0.7,49.7,-8.1,-0.6,47.8,-6.7,-1.6,49.7,-10.6,-2.8,49.7
-10.1,3.6,66.3,-11.0,1.4,70.9,-7.4,2.2,70.9,-10.1,3.6,70.9
0.1,-3.2,52.6,-1.4,-4.0,52.6,-2.4,-3.4,52.6,-1.4,-3.9,50.8
-4.8,-9.1,61.8,-7.1,-8.1,66.3,-1.9,-7.1,61.8,-5.2,-5.4,61.8
-15.0,-7.1,52.6,-15.6,-12.5,52.6,-18.0,-8.7,52.6,-17.4,-8.4,50.8
-15.0,-7.1,52.6,-13.8,-11.0,49.7,-15.6,-12.5,52.6,-17.4,-8.4,50.8
-15.6,-12.5,52.6,-13.8,-11.0,49.7,-15.6,-12.5,27.4,-17.4,-8.4,50.8
-17.4,-8.4,29.2,-15.6,-12.5,27.4,-13.8,-11.0,49.7,-17.4,-8.4,50.8
-18.0,-8.7,52.6,-15.6,-12.5,27.4,-17.4,-8.4,29.2,-17.4,-8.4,50.8
-18.0,-8.7,52.6,-15.6,-12.5,52.6,-15.6,-12.5,27.4,-17.4,-8.4,50.8
-13.8,-11.0,49.7,-9.9,-4.8,44.3,-15.9,-7.7,49.7,-12.4,-6.0,47.8
-11.0,1.4,27.4,-10.5,-0.7,30.3,-7.6,-1.8,27.4,-9.7,1.2,30.3
-10.6,-2.8,49.7,-7.6,-1.8,52.6,-10.5,-0.7,49.7,-11.5,-0.8,50.8
-9.6,-6.8,61.8,-7.1,-8.1,66.3,-7.1,-8.1,61.8,-5.2,-5.4,61.8
-17.4,-8.4,50.8,-15.0,-7.1,52.6,-13.8,-11.0,49.7,-15.9,-7.7,49.7
-15.0,-7.1,52.6,-13.3,-6.3,49.7,-13.8,-11.0,49.7,-15.9,-7.7,49.7
-7.6,-1.8,52.6,-8.5,-6.0,49.7,-10.7,-4.9,49.7,-10.6,-2.8,49.7
-10.7,-4.9,49.7,-12.0,-3.2,52.6,-7.6,-1.8,52.6,-10.6,-2.8,49.7
-8.3,-3.8,47.8,-8.5,-6.0,49.7,-6.7,-1.6,49.7,-10.6,-2.8,49.7
-6.7,-1.6,49.7,-8.5,-6.0,49.7,-7.6,-1.8,52.6,-10.6,-2.8,49.7
-14.1,6.1,52.6,-15.9,-0.4,52.6,-14.1,-0.4,49.7,-11.0,1.4,52.6
-3.4,-2.7,66.3,-7.6,-1.8,70.9,-4.0,-0.9,70.9,-4.7,0.9,66.3
-4.7,0.9,22.8,-7.4,2.2,18.2,-3.3,3.0,22.8,-4.0,1.9,18.2
-5.3,-3.7,44.3,-4.9,-5.6,47.8,-6.7,-1.6,49.7,-8.3,-3.8,47.8
-1.0,-2.8,47.8,0.0,-1.8,44.3,-0.8,-2.2,44.3,-1.3,-1.8,44.3
-2.9,-3.0,35.7,-3.9,-4.5,35.7,-2.6,-5.0,35.7,-3.6,-4.1,40.0
-5.4,-6.5,35.7,-4.8,-9.9,35.7,-1.9,-8.1,35.7,-6.2,-7.8,40.0
-1.9,-8.1,35.7,-4.8,-9.9,35.7,-2.2,-9.7,40.0,-6.2,-7.8,40.0
-6.8,-8.6,35.7,-4.8,-9.9,35.7,-5.4,-6.5,35.7,-6.2,-7.8,40.0
0.0,-9.2,49.7,-1.7,-6.3,49.7,1.7,-5.8,49.7,1.6,-7.3,47.8
-4.8,-9.9,35.7,-6.8,-8.6,35.7,-8.6,-10.7,32.2,-6.2,-7.8,40.0
-11.0,-13.8,49.7,-8.7,-10.5,49.7,-7.7,-15.9,49.7,-8.6,-10.7,47.8
5.5,-6.0,70.9,6.6,-8.6,75.4,2.0,-6.5,70.9,4.5,-9.6,70.9
-3.0,-13.1,49.7,-3.1,-13.4,47.8,-2.1,-8.9,49.7,0.0,-9.2,49.7
-5.3,-3.7,35.7,-5.4,-6.5,35.7,-3.9,-4.5,35.7,-3.6,-4.1,40.0
-2.6,-5.0,44.3,-4.9,-5.6,47.8,-1.7,-6.9,47.8,-1.0,-2.8,47.8
-4.5,-19.5,75.4,0.0,-20.0,80.0,-3.4,-14.8,80.0,-4.5,-19.5,80.0
-8.6,-10.7,32.2,-6.8,-8.6,35.7,-8.6,-6.8,35.7,-6.2,-7.8,40.0
-13.8,-11.0,49.7,-13.8,-11.0,30.3,-8.6,-6.8,35.7,-6.2,-7.8,40.0
-8.6,-10.7,32.2,-13.8,-11.0,30.3,-13.8,-11.0,49.7,-6.2,-7.8,40.0
-13.8,-11.0,30.3,-8.6,-10.7,32.2,-8.6,-6.8,35.7,-6.2,-7.8,40.0
-2.8,2.9,35.7,-2.2,1.1,35.7,-2.3,2.1,32.2,-1.8,1.6,35.7
-2.4,-10.7,44.3,-4.8,-9.9,44.3,-3.1,-13.4,47.8,-2.1,-8.9,49.7
-6.8,-8.6,35.7,-5.4,-6.5,35.7,-8.6,-6.8,35.7,-6.2,-7.8,40.0
-5.4,-6.5,35.7,-9.0,-4.3,40.0,-8.6,-6.8,35.7,-6.2,-7.8,40.0
-15.9,-7.7,49.7,-9.9,-4.8,44.3,-9.0,-4.3,40.0,-17.2,-3.9,49.7
-9.0,-4.3,40.0,-5.4,-6.5,44.3,-6.2,-7.8,40.0,-6.0,-2.8,40.0
-4.8,-9.1,52.6,-8.7,-10.5,49.7,-7.1,-8.1,52.6,-6.9,-7.9,50.8
-8.5,-6.0,49.7,-8.6,-6.8,44.3,-6.3,-7.2,49.7,-8.6,-10.7,47.8
-3.4,-2.7,57.2,-2.4,-3.4,52.6,-5.2,-5.4,52.6,-3.4,-2.7,52.6
-12.4,-6.0,47.8,-13.3,-6.3,49.7,-8.7,-10.5,49.7,-8.5,-6.0,49.7
-11.0,0.0,44.3,-10.7,-2.4,44.3,-10.5,-0.7,49.7,-13.7,0.0,47.8
-12.5,-15.6,52.6,-15.6,-12.5,52.6,-12.5,-15.6,57.2,-9.8,-11.9,52.6
-7.1,-8.1,57.2,-9.6,-6.8,52.6,-7.1,-8.1,52.6,-9.8,-11.9,52.6
-4.8,-9.1,52.6,-7.1,-8.1,57.2,-7.1,-8.1,52.6,-9.8,-11.9,52.6
-3.4,-14.8,52.6,-4.3,-18.9,50.8,0.0,-20.0,52.6,-4.5,-19.5,52.6
-7.7,-15.9,49.7,-12.1,-15.1,29.2,-12.1,-15.1,50.8,-11.0,-13.8,49.7
-7.7,-15.9,30.3,-11.0,-13.8,30.3,-12.1,-15.1,29.2,-11.0,-13.8,49.7
-7.7,-15.9,49.7,-7.7,-15.9,30.3,-12.1,-15.1,29.2,-11.0,-13.8,49.7
-7.7,-15.9,30.3,-7.7,-15.9,49.7,-8.6,-10.7,32.2,-11.0,-13.8,49.7
-7.7,-15.9,30.3,-8.6,-10.7,32.2,-11.0,-13.8,30.3,-11.0,-13.8,49.7
-12.1,-5.5,57.2,-9.6,-6.8,52.6,-7.1,-8.1,57.2,-9.8,-11.9,52.6
-9.8,-11.9,80.0,-12.5,-15.6,75.4,-15.6,-12.5,80.0,-12.1,-5.5,75.4
-15.6,-12.5,52.6,-12.1,-15.1,50.8,-13.8,-11.0,49.7,-9.8,-11.9,52.6
-12.5,-15.6,52.6,-12.1,-15.1,50.8,-15.6,-12.5,52.6,-9.8,-11.9,52.6
-7.1,-8.1,52.6,-9.6,-6.8,52.6,-8.7,-10.5,49.7,-9.8,-11.9,52.6
-8.7,-10.5,49.7,-4.8,-9.1,52.6,-7.1,-8.1,52.6,-9.8,-11.9,52.6
3.0,-2.4,47.8,4.4,-3.7,44.3,4.2,-2.0,47.8,4.5,-5.9,47.8
-8.6,-10.7,47.8,-8.6,-6.8,44.3,-6.3,-7.2,49.7,-6.8,-8.6,44.3
-12.5,-15.6,57.2,-3.4,-14.8,52.6,-3.4,-14.8,61.8,-4.5,-19.5,57.2
-11.0,-13.8,49.7,-7.7,-15.9,49.7,-8.6,-10.7,32.2,-8.6,-10.7,47.8
-3.9,-17.2,49.7,-4.8,-9.9,44.3,-3.1,-13.4,47.8,-2.4,-10.7,44.3
-8.6,-10.7,32.2,-4.8,-9.9,35.7,-6.2,-7.8,40.0,-8.6,-10.7,47.8
-8.6,-10.7,32.2,-7.7,-15.9,49.7,-4.8,-9.9,35.7,-8.6,-10.7,47.8
-11.0,-13.8,49.7,-13.8,-11.0,49.7,-8.7,-10.5,49.7,-8.6,-10.7,47.8
-8.6,-10.7,47.8,-4.8,-9.9,35.7,-6.2,-7.8,40.0,-4.8,-9.9,44.3
-8.6,-10.7,47.8,-6.2,-7.8,40.0,-6.8,-8.6,44.3,-4.8,-9.9,44.3
-8.6,-10.7,47.8,-3.1,-13.4,47.8,-7.7,-15.9,49.7,-4.8,-9.9,44.3
-17.4,-8.4,29.2,-17.2,-3.9,30.3,-19.5,-4.5,27.4,-17.2,-3.9,49.7
-2.2,-9.7,40.0,-6.2,-7.8,40.0,-4.8,-9.9,44.3,-1.9,-8.1,44.3
-9.8,-11.9,52.6,-4.8,-9.1,52.6,-7.1,-8.1,57.2,-3.4,-14.8,52.6
-3.9,-17.2,49.7,0.0,-11.0,35.7,-2.2,-9.7,40.0,0.0,-11.0,44.3
-2.2,-9.7,40.0,-4.8,-9.9,35.7,-7.7,-15.9,49.7,-4.8,-9.9,44.3
-5.4,-6.5,44.3,-4.9,-5.6,47.8,-6.8,-8.6,44.3,-4.8,-9.9,44.3
4.0,3.6,75.4,2.8,0.6,80.0,0.4,0.9,80.0,1.5,-2.5,75.4
-3.0,-13.1,49.7,-4.8,-9.1,52.6,-2.4,-10.1,52.6,-2.3,-9.8,50.8
-7.7,-15.9,49.7,-3.9,-17.2,30.3,-2.2,-9.7,40.0,-3.9,-17.2,49.7
-4.8,-9.9,44.3,-3.1,-13.4,47.8,-7.7,-15.9,49.7,-3.9,-17.2,49.7
1.2,-5.3,40.0,0.0,-5.7,44.3,-1.0,-3.9,44.3,-1.2,-5.1,40.0
-7.7,-15.9,49.7,-2.2,-9.7,40.0,-4.8,-9.9,44.3,-3.9,-17.2,49.7
-2.3,-9.8,50.8,-2.4,-10.1,52.6,0.0,-10.4,52.6,-1.9,-7.1,52.6
18.0,-8.7,57.2,13.7,-6.9,52.6,18.0,-8.7,52.6,15.6,-12.5,52.6
-8.6,-10.7,47.8,-8.7,-10.5,49.7,-7.7,-15.9,49.7,-3.0,-13.1,49.7
-3.1,-13.4,47.8,-8.6,-10.7,47.8,-7.7,-15.9,49.7,-3.0,-13.1,49.7
-4.8,-9.9,44.3,-6.2,-7.8,40.0,-5.4,-6.5,44.3,-1.9,-8.1,44.3
-3.4,-14.8,52.6,-12.5,-15.6,57.2,-8.7,-18.0,52.6,-4.5,-19.5,57.2
-2.4,-10.7,44.3,-2.2,-9.7,40.0,-4.8,-9.9,44.3,-1.9,-8.1,44.3
-10.7,-2.4,35.7,-17.2,-3.9,30.3,-9.0,-4.3,40.0,-17.2,-3.9,49.7
-3.0,-13.1,49.7,3.1,-13.4,47.8,-3.1,-13.4,47.8,0.0,-9.2,49.7
-3.9,-17.2,49.7,-3.1,-13.4,47.8,-7.7,-15.9,49.7,-3.0,-13.1,49.7
-6.0,-2.8,40.0,-5.4,-6.5,44.3,-5.3,-3.7,44.3,-8.3,-3.9,44.3
-7.6,-1.8,52.6,-5.2,-5.4,52.6,-3.3,-2.6,50.8,-3.4,-2.7,52.6
-11.0,1.4,52.6,-7.6,-1.8,52.6,-9.7,1.2,49.7,-7.4,2.2,52.6
-2.1,-8.9,49.7,-4.8,-9.9,44.3,-3.1,-13.4,47.8,-4.2,-8.1,49.7
-2.6,-5.0,44.3,-1.9,-8.1,44.3,-1.3,-5.6,44.3,-1.7,-6.9,47.8
-3.0,-13.1,49.7,-3.1,-13.4,47.8,-8.6,-10.7,47.8,-4.2,-8.1,49.7
-3.1,-13.4,47.8,-3.0,-13.1,49.7,-2.1,-8.9,49.7,-4.2,-8.1,49.7
-4.8,-9.9,44.3,-8.6,-10.7,47.8,-3.1,-13.4,47.8,-4.2,-8.1,49.7
6.5,-3.5,47.8,8.3,-4.5,49.7,9.0,-2.4,49.7,6.9,-3.5,49.7
-4.9,-5.6,47.8,-5.4,-6.5,44.3,-2.6,-5.0,44.3,-1.7,-6.9,47.8
-10.6,-2.8,49.7,-12.0,-3.2,52.6,-7.6,-1.8,52.6,-11.5,-0.8,50.8
-1.9,-8.1,44.3,-2.6,-5.0,44.3,-5.4,-6.5,44.3,-1.7,-6.9,47.8
-4.8,-9.9,44.3,-5.4,-6.5,44.3,-4.9,-5.6,47.8,-1.7,-6.9,47.8
4.7,-2.8,49.7,3.9,-3.1,49.7,6.5,-3.5,47.8,4.5,-5.9,47.8
-2.4,-10.7,44.3,-1.7,-6.9,47.8,0.0,-9.2,49.7,0.0,-11.0,44.3
-6.9,-7.9,50.8,-4.8,-9.1,52.6,-8.7,-10.5,49.7,-4.2,-8.1,49.7
-6.9,-7.9,50.8,-8.7,-10.5,49.7,-6.3,-7.2,49.7,-4.2,-8.1,49.7
-7.6,-1.8,61.8,-7.1,-8.1,57.2,-12.1,-5.5,57.2,-3.4,-2.7,57.2
-7.1,-8.1,52.6,-4.8,-9.1,52.6,-6.9,-7.9,50.8,-5.2,-5.4,52.6
-6.3,-7.2,49.7,-8.7,-10.5,49.7,-8.6,-10.7,47.8,-4.2,-8.1,49.7
-1.7,-6.3,49.7,-2.1,-8.9,49.7,-4.2,-8.1,49.7,-1.7,-6.9,47.8
-3.4,-2.7,57.2,-5.2,-5.4,52.6,-7.6,-1.8,52.6,-3.4,-2.7,52.6
-2.1,-3.0,49.7,-1.2,-3.6,49.7,-4.9,-5.6,47.8,-1.0,-2.8,47.8
-1.4,-4.0,66.3,-2.4,-0.5,61.8,0.1,-3.2,61.8,-2.4,-3.4,61.8
-8.7,-18.0,52.6,-4.3,-18.9,50.8,-3.4,-14.8,52.6,-4.5,-19.5,52.6
11.0,0.0,44.3,13.7,0.0,47.8,10.7,-2.4,44.3,17.2,-3.9,49.7
-12.5,-15.6,75.4,-12.5,-15.6,70.9,-15.6,-12.5,70.9,-9.8,-11.9,70.9
-3.1,-13.4,47.8,-3.9,-17.2,49.7,-2.4,-10.7,44.3,0.0,-11.0,44.3
-1.9,-7.1,52.6,-2.4,-10.1,52.6,0.0,-10.4,52.6,-2.4,-10.1,57.2
6.6,-8.6,75.4,4.4,-3.5,75.4,5.5,-6.0,70.9,2.0,-6.5,70.9
4.3,-3.4,50.8,5.5,-6.0,52.6,2.0,-6.5,52.6,4.9,-5.3,49.7
-9.8,-11.9,61.8,-7.1,-8.1,66.3,-9.6,-6.8,61.8,-12.1,-5.5,66.3
-7.7,-15.9,49.7,-9.8,-11.9,52.6,-8.7,-18.0,52.6,-3.4,-14.8,52.6
4.4,-3.5,66.3,-1.4,-4.0,66.3,2.4,-10.6,66.3,2.0,-6.5,70.9
-4.5,-19.5,57.2,4.5,-19.5,57.2,3.4,-15.1,52.6,2.4,-10.6,57.2
-4.5,-19.5,57.2,-3.4,-14.8,61.8,-8.7,-18.0,61.8,-4.5,-19.5,61.8
-1.9,-7.1,61.8,-1.4,-4.0,61.8,-1.4,-4.0,57.2,-2.4,-3.4,61.8
-14.1,-0.4,49.7,-10.5,-0.7,49.7,-10.6,-2.8,49.7,-13.7,0.0,47.8
-9.8,-11.9,52.6,-8.7,-10.5,49.7,-4.8,-9.1,52.6,-3.4,-14.8,52.6
0.0,-10.4,52.6,0.0,-9.2,49.7,-3.0,-13.1,49.7,-2.3,-9.8,50.8
-2.2,-9.7,40.0,-1.9,-8.1,44.3,0.0,-11.0,44.3,1.9,-8.3,44.3
-3.3,3.0,57.2,-3.4,-2.7,57.2,-2.4,-0.5,52.6,1.5,-2.5,57.2
1.7,-5.8,49.7,-1.7,-6.9,47.8,-1.0,-2.8,47.8,1.6,-7.3,47.8
-4.2,-1.0,44.3,-2.9,-3.0,44.3,-2.3,-1.9,47.8,-5.3,-3.7,44.3
4.0,3.6,75.4,6.3,1.7,75.4,2.8,0.6,80.0,1.5,-2.5,75.4
-1.9,-7.1,61.8,-7.1,-8.1,57.2,-5.2,-5.4,61.8,-1.4,-4.0,57.2
-4.3,-18.9,29.2,0.0,-20.0,52.6,-4.3,-18.9,50.8,-4.5,-19.5,52.6
-2.4,-0.5,61.8,0.1,-3.2,61.8,0.4,0.9,61.8,1.5,-2.5,66.3
3.0,-13.3,49.7,2.3,-10.3,50.8,4.5,-9.6,52.6,4.0,-8.5,49.7
-8.7,-18.0,52.6,-4.5,-19.5,27.4,-4.3,-18.9,29.2,-4.5,-19.5,52.6
4.3,1.1,47.8,5.0,-0.4,47.8,4.2,-2.0,47.8,2.9,-0.5,44.3
-7.7,-15.9,49.7,-3.9,-17.2,49.7,-3.0,-13.1,49.7,-3.4,-14.8,52.6
-0.7,3.7,49.7,-0.5,2.9,47.8,0.3,0.8,49.7,-1.8,3.2,49.7
12.5,-15.6,66.3,18.0,-8.7,66.3,13.7,-6.9,70.9,15.6,-12.5,70.9
-2.4,-10.1,57.2,-7.1,-8.1,57.2,-4.8,-9.1,52.6,-3.4,-14.8,52.6
4.4,-3.5,52.6,5.3,-3.2,52.6,4.4,-3.5,57.2,5.5,-6.0,52.6
-1.7,-6.9,47.8,-1.7,-6.3,49.7,-2.1,-8.9,49.7,0.0,-9.2,49.7
-4.2,-8.1,49.7,-4.8,-9.1,52.6,-2.3,-9.8,50.8,-1.9,-7.1,52.6
-2.1,-8.9,49.7,-3.0,-13.1,49.7,0.0,-9.2,49.7,-2.3,-9.8,50.8
3.0,-2.4,47.8,1.1,-3.6,44.3,3.0,-3.3,44.3,2.5,-5.3,44.3
0.0,-9.2,49.7,-1.7,-6.3,49.7,-2.1,-8.9,49.7,-1.9,-7.1,52.6
-2.1,-8.9,49.7,-4.2,-8.1,49.7,-2.3,-9.8,50.8,-1.9,-7.1,52.6
-4.2,-8.1,49.7,-3.0,-13.1,49.7,-2.1,-8.9,49.7,-2.3,-9.8,50.8
-4.5,-19.5,27.4,0.0,-20.0,27.4,-4.3,-18.9,29.2,0.0,-20.0,52.6
-8.7,-18.0,61.8,-12.5,-15.6,61.8,-12.5,-15.6,66.3,-9.8,-11.9,61.8
-11.5,-0.8,50.8,-7.6,-1.8,52.6,-10.5,-0.7,49.7,-11.0,1.4,52.6
